TITLE,PRICE,RATING,DETAILS,RETURN POLICY
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Charging, Dual Pairing Neckband Bluetooth  (Acoustic Red, In the Ear)",₹399,4,With Mic:Yes; Bluetooth version: v5.3; Wireless range: 10 m; Battery life: 50 hr | Charging time: 1.5 Hours; ,7 Days Replacement Policy?; 
"Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluetooth  (Green, In the Ear)",₹450,3.9,With Mic:Yes; Bluetooth version: v5.0; Wireless range: 10 m; Battery life: 48 hr; Flatwire: Stays tangle free even in your pocket; ,7 Days Replacement Policy?; 
"OnePlus Bullets Wireless Z2 Bluetooth  (Magico Black, In the Ear)","₹1,299",4.3,With Mic:Yes; Bluetooth version: 5; Battery life: 30 Hrs | Charging time: 10 min; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"Apple AirPods Pro (2nd generation) with MagSafe Case (USB-C) Bluetooth  (White, True Wireless)","₹17,999",4.6,"With Mic:Yes; Connector type: No; Apple-designed H2 chip, the force behind AirPods Pro, pushes advanced audio performance even further. From smarter noise cancellation to superior three-dimensional sound and battery life, it improves on the best features of AirPods Pro in a big way.; Low-distortion, custom-built driver and amplifier deliver crisp, clear high notes and deep, rich bass in stunning definition.; Adaptive Audio dynamically blends Transparency mode and Active Noise Cancellation to deliver the best listening experience for you in any environment.; Up to 2x more Active Noise Cancellation than the previous-generation AirPods Pro, so you,ll hear dramatically less noise from your surrounding; Transparency mode lets outside sound in, so you can hear what's going on around you.
Conversation Awareness lowers media volume and enhances voices of people in front of you, all while reducing background noise to make it easier for you to engage with people nearby when wearing AirPods Pro.; Personalised Volume and personalised spatial audio.; ",No Returns Applicable?; GST invoice available?; 
"OnePlus Bullets Wireless Z2 Bluetooth  (Acoustic Red, In the Ear)","₹1,299",4.3,With Mic:Yes; Bluetooth version: 5; Battery life: 20 Hrs | Charging time: 10 Mins; Battery life: 20 Hrs; Charging time: 10 mins; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Charging, Dual Pairing Neckband Bluetooth  (Magico Black, In the Ear)",₹399,4,With Mic:Yes; Bluetooth version: v5.3; Wireless range: 10 m; Battery life: 50 hr | Charging time: 1.5 Hours; ,7 Days Replacement Policy?; 
"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth  (Deep Grey, True Wireless)","₹1,599",4.3,"With Mic:Yes; Bluetooth version: 5.3; [Enhanced Sound Experience]: The buds comes with 12.4mm driver unit, which delivers crisp clear and enhanced bass quality sound experience.; [Crystal Clear Call]: Nord Buds 2r has Dual Mics which work with AI Clear Call algorithm which help in accurately blocking out background noise to keep your calls extra clear.; [Sound Master Equalizers]: For the OnePlus Nord Buds 2r, you get to choose how heavy or light you want your sound with the help of sound master equalizers 3 unique audio profiles -Bold, Bass & Balanced; [Battery Life]:The flagship-level battery life for the all-new OnePlus Nord Buds 2r delivers up to 38 hrs of non-stop music on a single charge; [IP55 rating]: IP55 Water & Sweat Resistance.; [Bluetooth Version]: BT 5.3 Connectivity.; ",7 Days Service Center Replacement/Repair?; GST invoice available?; 
"SORAK CREATION 6 Bluetooth  (White, In the Ear)",,4,With Mic:Yes; Connector type: 2.5; ,
"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth  (Pebble Black, Active Black, True Wireless)",₹899,4,"With Mic:Yes; Bluetooth version: 5.1; 40 HRS Playback: These earbuds offer a total playback time of 40 hours.; ASAP Charge: Courtesy our ASAP Charge technology, the earbuds can fetch up to 90 minutes of playback time in just 5 minutes of charging time.; 13mm Drivers: Delve into the boAt Signature Sound on Airdopes 161 TWS earbuds courtesy its 13mm audio drivers.; IPX5: The earbuds are marked with IPX5 water resistance for a carefree listening time wherever you go.; Quick Touch Response Control: A tap on the buds is all you need to get things going.; ",7 Days Replacement Policy?; GST invoice available?; 
"OnePlus Bullets Wireless Z2 ANC Earphones with 45dB Hybrid ANC Bluetooth  (Boomin Black, In the Ear)","₹1,799",4.2,"With Mic:Yes; Bluetooth version: 5.2; Wireless range: 10 m; [Enhanced Sound Experience]: A large 12.4mm dynamic driver can bring deeper bass and powerful beats. The titanium coating dome can better provide rich audio details at each frequency, so that people can clearly feel every audio beat; [ANC]: 45dB Hybrid Active Noise Cancellation combines both FeedForward and FeedBack microphones to maximize frequency range of noise that can be reduced, performing up to 45dB.; [3-mic AI Call Noise Cancellation]: The advanced 3mics AI call captures and amplifies human voice befittingly when calling by strengthened AI algorithm on software and 3 mics system on hardware. The voice of the caller is clear, and can be heard clearly in the noisy environment.; Quick Switch]: Quick Switch lets you switch between two paired devices, such as your phone and laptop. Users can go from listening to music on your phone to enjoying a movie on your laptop in seconds.; [Battery Life]:It has 10mins of Ultra Fast Charging that gives 20hours of Playback time with total playback upto 28 hours.; ",7 Days Service Center Replacement/Repair?; GST invoice available?; 
